"Domaine","Zone","Quartier","Bloc","Ilot","Nom du secteur fonctionnel","Niveau d'urbanisme","Description","Code Secteur Fonctionnel Interministériel","Nom Long","Eléments justifiants la création du secteur","Couleur","Indice de confiance"
"MI","Administration générale et territoriale de l'Etat",,,,"Administration générale et territoriale de l'Etat","Zone","Présence et continuité de l’État sur tout le territoire et mise en œuvre au plan local des politiques publiques nationales. Cela comprend la vie politique, cultuelle et associative (notamment l'organisation des élections), la garantie de l'identité et la délivrance des titres. Pour les collectivités territoriales, les activités de contrôle de légalité et le conseil.","B2F5-B319-4FD1-4379","Interministériel::POS du SI des Services Publics Français::MI::Administration générale et territoriale de l'Etat",,"Bleu",
"MI","Coordination des actions interministérielles",,,,"Coordination des actions interministérielles","Zone","Coordonner, sur le terrain l'action des services de l’État","B2F5-B321-4FD1-438E","Interministériel::POS du SI des Services Publics Français::MI::Coordination des actions interministérielles",,"Bleu",
"MI","Gestion des crises",,,,"Gestion des crises","Zone","Gestion interministérielle des crises, sur demande du Premier ministre.","B2F5-B321-4FD1-43A3","Interministériel::POS du SI des Services Publics Français::MI::Gestion des crises",,"Bleu",
"MI","Immigration, asile et intégration",,,,"Immigration, asile et intégration","Zone","""Assurer les gestion des étrangers (instruction et délivrance des visas avec le MAE, réglementation du séjour et du travail, éloignement et lutte contre la fraude)._x000D_
Concevoir et mettre en œuvre la politique d'intégration et de l'accès à la nationalité française.""","B2F5-B322-4FD1-43B8","Interministériel::POS du SI des Services Publics Français::MI::Immigration, asile et intégration",,"Bleu",
"MI","Secours et gestion des risques",,,,"Secours et gestion des risques","Zone","Regroupe plusieurs activités :_x000D_
- Gestion des risques, qu'il s'agisse des accidents de la vie courante ou des catastrophes majeures._x000D_
- Planification contre les menaces (hors vigipirate)._x000D_
- Protection des populations et sauvegarde des biens (prévention, alerte, intervention des secours)._x000D_
- Protection des forêts contre les incendies","B2F5-B323-4FD1-43F7","Interministériel::POS du SI des Services Publics Français::MI::Secours et gestion des risques",,"Bleu",
"MI","Sécurité Circulation routière",,,,"Sécurité Circulation routière","Zone","Définition des conditions générales de circulation routière. Mener la politique d'éducation routière, gérer les crédits de prévention et organiser les relations et partenariats avec les milieux associatifs. Traitement automatisé des infractions routières.","B2F5-B323-4FD1-440C","Interministériel::POS du SI des Services Publics Français::MI::Sécurité Circulation routière",,"Bleu",
"Ressources & Support","Comptabilité budgétaire",,,,"Comptabilité budgétaire","Zone","La comptabilité budgétaire retrace l'exécution des dépenses budgétaires, au moment où elles sont payées et l'exécution des recettes, au moment où elles sont encaissées._x000D_
Les fonctionnalités couvertes sont :_x000D_
- Tenue de la comptabilité budgétaire ;_x000D_
- Pilotage budgétaire (suivi du disponible).","B2F5-B324-4FD1-4456","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Comptabilité budgétaire",,"Vert",
"Ressources & Support","Comptabilité d'analyse des coûts",,,,"Comptabilité d'analyse des coûts","Zone","La comptabilité d'analyse du coût des actions est plus spécialement destinée à compléter l'information du Parlement sur les moyens budgétaires affectés à la réalisation des actions prévues au sein des programmes. Elle permet également de mesurer la performance des administrations.","B2F5-B324-4FD1-4466","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Comptabilité d'analyse des coûts",,"Vert",
"Ressources & Support","Comptabilité générale",,,,"Comptabilité générale","Zone","La comptabilité générale vise à décrire la situation patrimoniale de l'État, c'est-à-dire l'ensemble de ce qu'il possède (terrains, immeubles, créances) et de ce qu'il doit (emprunts, dettes). La synthèse des informations contenues dans la comptabilité générale figure dans le compte de résultat et le bilan._x000D_
Les fonctionnalités couvertes sont les suivantes :_x000D_
- Tenue de la comptabilité générale ;_x000D_
- Comptabilité développée du recouvrement ;_x000D_
- Production des comptes de l’Etat.","B2F5-B324-4FD1-4476","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Comptabilité générale",,"Vert",
"Ressources & Support","Finances",,,,"Finances","Zone","Cette zone comprend l'ensemble des quartiers et blocs fonctionnels liés au financement, au budget et à la comptabilité publique. Elle regroupe l'ensemble des fonctionnalités permettant de suivre, d'analyser et d'allouer les ressources de l'Etat ainsi que celles permettant de suivre et d'exécuter les charges (dépenses, coûts de fonctionnement…) de l'administration d'Etat. _x000D_
","B2F5-B324-4FD1-4436","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Finances",,"Vert",
